Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2024-08-16T06:29:24.379830Z,,CASH TOP-UP,,,$109,USD,0.0437
2024-08-16T13:30:01.310Z,GOOGL,BUY - MARKET,0.66939078,$161.52,$109.34,USD,0.0437
2024-08-16T15:50:09.504278Z,AAPL,DIVIDEND,,,$0.26,USD,0.0438
2024-09-04T08:16:20.603360Z,WMT,DIVIDEND,,,$0.36,USD,0.0442
2024-09-04T08:20:02.683884Z,V,DIVIDEND,,,$0.18,USD,0.0442
2024-09-13T10:23:54.278475Z,MSFT,DIVIDEND,,,$1.05,USD,0.0442
2024-09-17T10:06:38.812095Z,GOOGL,DIVIDEND,,,$0.31,USD,0.0444
2024-09-18T16:24:05.451602Z,,CASH TOP-UP,,,$111.62,USD,0.0445
2024-09-18T16:24:19.852Z,BRK.B,BUY - MARKET,0.24922241,$456.54,$113.78,USD,0.0445
2024-09-27T08:58:26.669096Z,META,DIVIDEND,,,$0.37,USD,0.0444
2024-09-30T08:31:42.635241Z,BAC,DIVIDEND,,,$0.66,USD,0.0446
2024-10-04T11:07:07.047227Z,NVDA,DIVIDEND,,,$0.03,USD,0.0436
2024-10-18T08:57:18.639699Z,,CASH TOP-UP,,,$107.31,USD,0.0431
2024-10-18T13:30:01.723Z,BLK,BUY - MARKET,0.1073523,"$1,009.48",$108.37,USD,0.0432
2024-11-11T10:39:35.953004Z,MA,DIVIDEND,,,$0.15,USD,0.0423
2024-11-15T11:56:33.442424Z,AAPL,DIVIDEND,,,$0.26,USD,0.042
2024-11-18T09:52:09.923962Z,,CASH TOP-UP,,,$104.27,USD,0.0419
2024-11-18T09:53:34.618952Z,,CASH TOP-UP,,,$41.79,USD,0.0419
2024-11-18T11:23:20.917567Z,COST,DIVIDEND,,,$0.19,USD,0.0418
2024-11-18T14:30:05.097Z,META,BUY - MARKET,0.26296229,$557,$146.47,USD,0.0419
2024-12-03T15:53:20.468650Z,V,DIVIDEND,,,$0.20,USD,0.0419
2024-12-10T15:30:25.737Z,EPAM,SELL - MARKET,0.20282758,$246.91,$50.06,USD,0.042
2024-12-11T08:15:53.993891Z,,CASH WITHDRAWAL,,,-$50.45,USD,0.042
2024-12-13T13:35:17.140642Z,MSFT,DIVIDEND,,,$1.16,USD,0.0421
2024-12-17T12:31:21.967632Z,GOOGL,DIVIDEND,,,$0.31,USD,0.042
2024-12-18T17:33:23.326455Z,,CASH TOP-UP,,,$174.68,USD,0.0418
2024-12-18T17:37:08.512Z,BLK,BUY - MARKET,0.1658814,"$1,054.85",$176.15,USD,0.0419
2024-12-18T17:55:38.124Z,AMD,SELL - MARKET,1.08393071,$126.90,$136.36,USD,0.0418
2024-12-18T17:55:48.102Z,PATH,SELL - MARKET,8.11510204,$13.69,$109.92,USD,0.0418
2024-12-18T18:08:00.797Z,NVDA,BUY - MARKET,1.80307488,$135.94,$246.28,USD,0.0419
2024-12-24T08:35:33.998439Z,BLK,DIVIDEND,,,$0.46,USD,0.0415
2024-12-30T10:14:18.342338Z,META,DIVIDEND,,,$0.48,USD,0.0415
2024-12-30T10:18:28.143363Z,BAC,DIVIDEND,,,$0.66,USD,0.0415
2024-12-30T11:13:34.787985Z,NVDA,DIVIDEND,,,$0.03,USD,0.0416
